sub1 p0b0,,,,,,
2,,,,,,
0,,,,,,
1,,,,,,
0,0,0,,,,
6,,,,,,
24,,,,,,
0,-1,-1,-1,-1,8.09,-1
0,-1,-1,-1,-1,7.91,-1
0,-1,-1,-1,-1,8.45,-1
0,28.51,18.11,53.38,0,8.25,0.97718332
0,27.45,14.98,57.58,0,9.4,1.004917388
0,31.99,15.64,52.37,0,9.42,1.017899292
12,-1,-1,-1,0,9.71,1.414642014
12,-1,-1,-1,0,9.12,1.582895358
12,-1,-1,-1,0,9.12,1.336707317
17,47.63,15.72,36.66,0,-1,1.533988581
17,52.39,21.73,25.88,0,-1,1.564146935
17,46.67,15.8,37.53,0,-1,1.622317785
24,-1,-1,-1,0,9.26,1.750786782
24,-1,-1,-1,0,6.87,1.681746656
24,-1,-1,-1,0,9.98,1.672895358
36,-1,-1,-1,-1,8.88,-1
36,-1,-1,-1,-1,10.43,-1
36,-1,-1,-1,-1,8.95,-1
48,58.23,20.8,20.97,0,11.54,2.394925256
48,55.8,21.28,22.92,0,9.65,2.961597168
48,55.89,21.21,22.91,0,6.59,2.670330448
72,68.21,15.33,16.46,0,9.92,4.385121951
72,67.75,15.13,17.12,0,8.19,4.638804091
72,68.58,15.94,15.49,0,7.11,4.601644375
sub2 p0b100,,,,,,
2,,,,,,
0,,,,,,
1,,,,,,
0,100,0,,,,
6,,,,,,
18,,,,,,
12,-1,-1,-1,0,13.81,1.281376869
12,-1,-1,-1,0,14.05,1.558347758
12,-1,-1,-1,0,30.36,1.37761605
17,54.49,20.9,24.61,0,-1,1.560915221
17,44.52,20.53,34.95,0,-1,1.41871981
17,51.83,26.16,22.01,0,-1,1.39179317
24,-1,-1,-1,0,31.68,1.397010228
24,-1,-1,-1,0,35.47,1.78815893
24,-1,-1,-1,0,21.53,1.666050354
36,-1,-1,-1,-1,28.67,-1
36,-1,-1,-1,-1,24.29,-1
36,-1,-1,-1,-1,33.24,-1
48,45.2,22.37,32.43,0,28.51,2.497741935
48,44.54,22.81,32.66,0,30.27,2.709771833
48,44.65,23.15,32.21,0,35.2,2.54025177
72,53.62,20.37,26.01,0,29.93,3.832179386
72,55.96,19.44,24.6,0,30.11,3.87404406
72,55.04,20.69,24.27,0,38.55,3.824051928
sub5 p0b300,,,,,,
2,,,,,,
0,,,,,,
1,,,,,,
0,300,0,,,,
6,,,,,,
18,,,,,,
12,-1,-1,-1,-1,30.37,1.179732494
12,-1,-1,-1,-1,25.4,1.369508261
12,-1,-1,-1,-1,23.6,1.25140834
17,55.25,24.47,20.29,0,-1,1.300219326
17,54.39,24.47,21.14,0,-1,1.21728062
17,54.19,24.51,21.31,0,-1,1.259305828
24,-1,-1,-1,-1,29.46,1.403815893
24,-1,-1,-1,-1,26.66,1.649881983
24,-1,-1,-1,-1,38,1.584382376
36,-1,-1,-1,-1,36.08,-1
36,-1,-1,-1,-1,29.12,-1
36,-1,-1,-1,-1,34.87,-1
48,45.49,25.89,28.63,0,38.43,2.172722266
48,46.02,21.81,32.17,0,29.54,2.422989772
48,45.6,22.61,31.79,0,37.56,2.290055075
72,49.67,19.57,30.77,0,42.42,3.218300551
72,49.42,20.57,30.01,0,44.85,3.450330448
72,49.34,20.42,30.24,0,56.03,3.566766326
sub6 p15b0,,,,,,
2,,,,,,
0,,,,,,
1,,,,,,
0,0,15,,,,
6,,,,,,
18,,,,,,
12,-1,-1,-1,-1,40.67,1.072361024
12,-1,-1,-1,-1,29.34,1.203824493
12,-1,-1,-1,-1,36.9,1.071778792
17,28.492674,15.9945093,42.0229067,13.48991,-1,1.052735146
17,28.852854,15.9937503,41.9707157,13.18268,-1,1.162284543
17,28.215424,17.0476768,41.2721072,13.464792,-1,0.984023999
24,-1,-1,-1,-1,43.4,1.538172699
24,-1,-1,-1,-1,28.92,1.900826121
24,-1,-1,-1,-1,29.74,1.798859166
36,-1,-1,-1,-1,50.37,-1
36,-1,-1,-1,-1,32.75,-1
36,-1,-1,-1,-1,38.09,-1
48,37.848024,12.3974268,30.0525252,19.702024,39.67,1.693136442
48,38.537478,13.3237071,30.0814189,18.057396,30.39,1.830558276
48,39.46464,12.783408,29.778272,17.976864,43.44,1.675958713
72,45.320472,14.3950004,26.1103166,14.174211,49.46,1.942557071
72,45.785607,14.64517615,25.66045985,13.908757,47.89,2.093567392
72,45.585073,14.43162985,26.71784015,13.26765,49.62,1.87956905
sub7 p50b0,,,,,,
2,,,,,,
0,,,,,,
1,,,,,,
0,0,50,,,,
6,, ,,,,
18,,,,,,
12,-1,-1,-1,-1,46.32,1.131096123
12,-1,-1,-1,-1,36.08,1.216774248
