C,c1,c2,Time,R,EXP,c1,
,0,150,94.5,5.438633471,7,0,6
,0,150,120,4.668946866,7,0,6
,0,150,120,6.374164811,7,0,6
,0,300,0,1.037522104,9,0,7
,0,300,26,1.943246898,7,0,7
,0,300,26,1.890272033,7,0,7
,0,300,26,1.838728921,7,0,7
,0,300,29,1.555592396,9,0,7
,0,300,29,1.441202476,9,0,7
,0,300,29,1.598695844,9,0,7
,0,300,47,1.732427056,9,0,7
,0,300,47,2.090517241,9,0,7
,0,300,47,1.821949602,9,0,7
,0,300,53.5,2.602330576,7,0,7
,0,300,53.5,2.619511613,7,0,7
,0,300,53.5,2.824252307,7,0,7
,0,300,94.5,4.941815145,7,0,7
,0,300,94.5,5.566059497,7,0,7
,0,300,94.5,5.680599745,7,0,7
,0,300,103,5.804045093,9,0,7
,0,300,103,7.045755968,9,0,7
,0,300,103,6.76061008,9,0,7
,0,300,120,7.0155902,7,0,7
,0,300,120,8.451638562,7,0,7
,0,300,120,7.718580974,7,0,7
,0,1000,0,0.982813882,9,0,8
,0,1000,29,1.421308576,9,0,8
,0,1000,29,1.598695844,9,0,8
,0,1000,29,1.300287356,9,0,8
,0,1000,47,2.199933687,9,0,8
,0,1000,47,2.228116711,9,0,8
,0,1000,47,2.218169761,9,0,8
,0,1000,103,3.985411141,9,0,8
,0,1000,103,5.600132626,9,0,8
,0,1000,103,4.313660477,9,0,8
,0.75,0,0,1.046158472,6,0,9
,0.75,0,23.5,1.582418684,6,1.5,9
,0.75,0,23.5,1.583621511,6,1.5,9
,0.75,0,23.5,1.577607377,6,1.5,9
,0.75,0,47.5,2.537362803,6,1.5,9
,0.75,0,47.5,2.66005112,6,1.5,9
,0.75,0,47.5,3.672831153,6,1.5,9
,0.75,0,71,4.358342104,6,1.5,9
,0.75,0,71,4.186337894,6,1.5,9
,0.75,0,71,4.526737834,6,1.5,9
,0.75,0,94,6.897609382,6,1.5,9
,0.75,0,94,7.367914599,6,1.5,9
,0.75,0,94,7.406405052,6,1.5,9
,0.75,15,0,1.112313938,6,0,10
,0.75,15,23.5,1.665413722,6,1.5,10
,0.75,15,23.5,1.690673082,6,1.5,10
,0.75,15,23.5,1.700295695,6,1.5,10
,0.75,15,47.5,2.870545783,6,1.5,10
,0.75,15,47.5,2.795970531,6,1.5,10
,0.75,15,47.5,3.065403699,6,1.5,10
,0.75,15,71,4.176715281,6,1.5,10
,0.75,15,71,4.745652283,6,1.5,10
